Title,Directors,Year
Désordres,Cyril Schäublin,2022
Le Gang des Bois du Temple,Rabah Ameur-Zaïmeche,2022
La voie royale,Frédéric Mermoud,2023
Les damnés ne pleurent pas,Fyzal Boulifa,2022
Quand les vagues se retirent,Lav Diaz,2022
"Alam, le drapeau",Firas Khoury,2022
Bodyshop,Scud,2022
Plan 75,Chie Hayakawa,2022
Détective Conan : La Fiancée de Shibuya,"Susumu Mitsunaka,Gosho Aoyama",2022
La Vache qui chantait le futur,Francisca Alegria,2022
La Dernière Nuit de Lise Broholm,Tea Lindeburg,2021
Juste sous vos yeux,Hong Sang-soo,2021
Juniors,Hugo P. Thomas,2023
Le Vourdalak,Adrien Beau,2023
Seconde jeunesse,Gianni Di Gregorio,2023
Les Meutes,Kamal Lazraq,2023
Limbo,Cheang SOI,2021
Fidélité,Niguina Saïfoullaeva,2019
Yamabuki,Juichiro Yamasaki,2022
Thanatomorphose,Éric Falardeau,2012
Le Grand chariot,Philippe Garrel,2023
Libre Garance !,Lisa Diaz,2022
Freda,Gessica Généus,2021
Unicorn Wars,Alberto Vázquez,2022
Les Algues vertes,Pierre Jolivet,2023
Tropic,Edouard Salier,2022
Amira,Mohamed Diab,2021
Sur la branche,Marie Garel-Weiss,2023
The Belgian wave,Jérôme Vandewattyne,2023
"Mother, May I ?",Laurence Vannicelli,2023
Paula,Angela Ottobah,2023
Enflammé,Mauricio Calderón Rico,2023
Becoming Father,Tetsuya Mariko,2019
Seule la joie,Henrika Kull,2021
Le défi de Noël,Florian Hessique,2022
Sous le tapis,Camille Japy,2023
Yo Mama,"Amadou Mariko,Leïla Sy",2023
Le Soleil de trop près,Brieuc Carnaille,2022
Trenque Lauquen - Partie 1,Laura Citarella,2022
Trenque Lauquen - Partie 2,Laura Citarella,2022
Une nuit,Alex Lutz,2023
L'homme qui a vendu sa peau,Kaouther Ben Hania,2020
The Harbinger,Andy Mitton,2022
"Costa Brava, Lebanon",Mounia Akl,2021
Francisca,Manoel De Oliveira,1981
Vanishing,Denis Dercourt,2021
Master Gardener,Paul Schrader,2022
Rendez-vous à Tokyo,Daigo Matsui,2021
Farang,Xavier Gens,2023
Days,Ming-liang Tsai,2020
Butterfly Vision,Maksym Nakonechnyi,2022
Good Boy,Viljar Bøe,2022
Horror in the High Desert 2 : Minerva,Dutch Marich,2023
L'étrange histoire du coupeur de bois,Mikko Myllylahti,2022
Passages,Ira Sachs,2023
Le Retour,Catherine Corsini,2023
