Title,Directors,Year
La Toile de l'araignée,Andrés Wood,2019
Un triomphe,Emmanuel Courcol,2019
Too Late,Dennis Hauck,2015
Les Lois de l'hospitalité,"Buster Keaton,John G. Blystone",1923
Monte là-dessus !,"Fred C. Newmeyer,Sam Taylor",1923
Vive le sport !,"Fred C. Newmeyer,Sam Taylor",1925
Le Bruit des gens autour,Diastème,2007
Bonne Mère,Hafsia Herzi,2021
Titane,Julia Ducournau,2021
Secret de famille,Cristiane Oliveira,2020
Sans signe particulier,Fernanda Valadez,2019
Fendas,Carlos Segundo,2019
Basse saison,Laurent Herbiet,2021
London Fight Club,James Kermack,2020
Frères d'arme,Sylvain Labrosse,2020
Balloon,Pema Tseden,2019
Boy Meets Boy,Daniel Sanchez Lopez,2021
Milla,Shannon Murphy,2019
Les Sorcières d'Akelarre,Pablo Agüero,2019
Irmã,"Vinicius Lopes,Luciana Mazeto",2020
Betty,Claude Chabrol,1992
Oyuki la vierge,Kenji Mizoguchi,1935
Le plus dignement,Akira Kurosawa,1944
Cinq Femmes autour d'Utamaro,Kenji Mizoguchi,1946
L'Élégie d'Osaka,Kenji Mizoguchi,1936
Le Soupir des vagues,Kôji Fukada,2018
Ce crétin de Malek,"Herbert Blaché,Winchell Smith",1920
La Complainte du sentier,Satyajit Ray,1955
Minari,Lee Isaac Chung,2020
Sème le vent,Danilo Caputo,2020
Les Contes des chrysanthèmes tardifs,Kenji Mizoguchi,1939
Kuessipan,Myriam Verreault,2019
Inspecteur Lavardin,Claude Chabrol,1986
La Loi de Téhéran,Saeed Roustaee,2019
Des hommes,Lucas Belvaux,2020
Tom Medina,Tony Gatlif,2021
La Fièvre,Maya Da-Rin,2019
Stinking Heaven,Nathan Silver,2015
Passion simple,Danielle Arbid,2020
Une histoire d'amour et de désir,Leyla Bouzid,2021
Les Racines du monde,Byambasuren Davaa,2019
True Mothers,Naomi Kawase,2020
Les amours d'Anaïs,Charline Bourgeois-Tacquet,2021
À l'abordage,Guillaume Brac,2020
Sweet River,Justin McMillan,2020
Mandibules,"Quentin Dupieux,Quentin Dupieux",2020
Ce qui reste,Anne Zohra Berrached,2021
Médecin de nuit,Elie Wajeman,2020
Weed : The Florida Project,Robert J. Emery ,1975
De l'or pour les chiens,"Anna,Anna Cazenave Cambet",2020
Le Père de Nafi,Mamadou Dia,2018
Digger,Georgis Grigorakis,2020
"Moi, Michel G, Milliardaire, Maître du monde",Stéphane Kazandjian,2011
Si le vent tombe,Nora Martirosyan,2020
Louxor,Zeina Durra,2020
Caveat,Damian McCarthy,2020
Sur quel pied danser,"Paul Calori,Kostia Testut",2015
Sunset Song,Terence Davies,2014
Belle comme la femme d'un autre,Catherine Castel,2012
La Fine Fleur,Pierre Pinaud,2019
7 minutes,Ricky Mastro,2020
Qu'un seul tienne et les autres suivront,Léa Fehner,2009
Gagarine,"Fanny Liatard,Jérémy Trouilh",2020
Dans le silence de l'Ouest,Daniel Barber,2014
Vaurien,Peter Dourountzis,2020
Suzanna Andler,Benoît Jacquot,2021
Un Printemps à Hong Kong,Ray Yeung,2019
L'Instant présent,Florian Hessique,2021
200 Mètres,Ameen Nayfeh,2020
Sator,Jordan Graham,2019
Sentimental,Cesc Gay,2020
Private Chat,Ben Hozie,2020
Faire face - Never Fear,Ida Lupino,1950
Avant de t'aimer,"Elmer Clifton,Ida Lupino",1949
La Nuée,Just Philippot,2020
Méandre,Mathieu Turi,2020
Sky High,Daniel Calparsoro,2020
Vers la bataille,Aurélien Vernhes-Lermusiaux,2019
Bergman Island,Mia Hansen-Løve,2021
Mope,Lucas Heyne,2019
Savage Intruder,Donald Wolfe,1970
Ellie et Abbie,Monica Zanetti,2020
The Convent,Paul Hyett,2018
Je voulais me cacher,Giorgio Diritti,2020
Fisherman's Friends,Chris Foggin,2019
Scare Me,Josh Ruben,2020
Tu peux embrasser le marié,Alessandro Genovesi,2018
Don't Hang Up,"Damien Macé,Alexis Wajsbrot",2016
Madame Bovary,Claude Chabrol,1991
Mega Time Squad,Tim van Dammen,2018
Le Mariage de Rosa,Icíar Bollaín,2021
Berceuse sur un air de mystère - Partie 3,Lav Diaz,2016
Berceuse sur un air de mystère - Partie 2 : Les fantômes de la forêt,Lav Diaz,2016
Sous le ciel d'Alice,Chloé Mazlo,2020
Jean le Vaillant,Marcell Jankovics,1973
Berceuse sur un air de mystère - Partie 1 : Le jour comme la nuit,Lav Diaz,2016
Honeydew,Devereux Milburn,2020
Nina,Olga Chajdas,2018
Les Inshortables Volume 5,"Steven Liang,Simon Anderson,Lior Soroka,Lorelei Pepi,Marius Gabriel Stancu,Stéphane Riethauser",2021
Petite Maman,Céline Sciamma,2021
Seize printemps,Suzanne Lindon,2020
Le samouraï noir,Cirio H. Santiago,1978
Hide Your Smiling Faces,Daniel Patrick Carbone,2013
La Légende,Florian Hessique,2017
Les derniers jours du monde,Arnaud Larrieu,2009
Hospitalité,Kôji Fukada,2010
Les Séminaristes,Ivan Ostrochovsky,2020
Comme des garçons,Julien Hallard,2018
Le Tourbillon de couleurs,Julia Hart,2018
Traders,"Rachael Moriarty,Peter Murphy",2015
Bad Dreams,Anthony Scott Burns,2020
Drunk,Thomas Vinterberg,2020
Nightshot,Hugo König,2018
Come to Daddy,Ant Timpson,2019
LFO,Antonio Tublen,2013
Vanishing Waves,Kristina Buozyte,2013
Comancheria,David Mackenzie,2016
Await Further Instructions,Johnny Kevorkian,2018
Puzzle,Marc Turtletaub,2018
Runaway nightmare,Mike Cartel,1982
J'ador,Sofie Edvardsson,2020
Amare Amaro,Julien Paolini,2018
La Grande Séduction,Jean-François Pouliot,2003
Réservoir,Kim St-Pierre,2019
Terror Anim,"Donato Sansone,Ondrej Svadlena,Rosto,Rune Spaans,Johan Thurfjell",2003
La Richesse du loup,Damien Odoul,2012
Morasseix,Damien Odoul,1992
Love,Gaspar Noé,2015
Cash Nexus,François Delisle,2019
Banishing : La Demeure du Mal,Christopher Smith,2020
Sous les étoiles de Paris,Claus Drexel,2020
Le Poulain,Mathieu Sapin,2017
Leaving Afghanistan,Pavel Lounguine,2019
Baisers perdus,Sunder Pal,2020
"Louis, enfant roi",Roger Planchon,1993
Angel,François Ozon,2007
Quand on a 17 ans,André Téchiné,2016
Tout en haut du monde,Rémi Chayé,2015
Bendito Machine Saga,Jossie Malis,2018
Viola di mare,Donatella Maiorca,2009
Olivia,Ulli Lommel,1983
Genesis,"Freddie Hutton-Mills,Bart Ruspoli",2018
The Wolf Hour,Alistair Banks Griffin,2019
Garçon chiffon,Nicolas Maury,2020
Life Like,Josh Janowicz,2019
Bad Samaritan,Dean Devlin,2018
Europa Europa,Agnieszka Holland,1990
Le Lys brisé,David Wark Griffith,1919
La Loi des montagnes,Erich Von Stroheim,1939
Chevaux de bois,"Erich Von Stroheim,Rupert Julian",1923
Tu me manques,Rodrigo Bellott,2019
Lucky,Natasha Kermani,2020
La Déesse de l'asphalte,Julián Hernández,2020
Le Déserteur,Maxime Giroux,2018
Les Héritières,Nolwenn Lemesle,2020
Toxic,"Michael Herz,Lloyd Kaufman",1984
Pitchipoï,Charles Najman,2014
Un mariage sans fin,Maggie Peren,2019
Bliss,Joe Begos,2019
Garde alternée,Alexandra Leclère,2017
Galaxy,Brett  Pipper,1986
Doris,Albert van Rees,2018
Tricheurs,Barbet Schroeder,1983
Great White,Martin Wilson,2020
What Keeps You Alive,Colin Minihan,2018
À l'ombre des regards,Claudia Myers,2019
De bruit et de fureur,Jean-Claude Brisseau,1988
Antigone,Sophie Deraspe,2019
Souvenirs de la maison jaune,João Monteiro,1989
Trois tristes tigres,Raoul Ruiz,1968
Nevrland,Gregor Schmidinger,2019
Les Fiancées en folie,Buster Keaton,1925
Les Particules,Blaise Harrison,2019
Le Septième continent,Michael Haneke,1988
Funny Games,Michael Haneke,1997
Défendu,Drake Doremus,2013
Le duel,Kieran Darcy-Smith,2016
La Reine du crime présente : les meurtres de minuit,Joe Stephenson,2020
Queen and Country,John Boorman,2014
Altamira,Hugh Hudson,2016
Chaudes nuits d'été,Elijah Bynum,2017
L'Enfant secret,Philippe Garrel,1979
Le Dernier hétéro sur Terre,Mark Bessenger,2014
L'homme irrationnel,Woody Allen,2015
Ne touchez pas la hache,Jacques Rivette,2006
À fleur de mer,João Monteiro,1986
Ma vie de chien,Lasse Hallström,1985
Sole,Carlo Sironi,2019
One Piece : Stampede,Takashi Otsuka,2019
Black Butler : Le film live,"Keichi Sato,Kentarô Ohtani",2014
Fairy Tail : Dragon Cry,Tatsuma Minamikawa,2017
Les Enquêtes du Département V - Le dossier 64,Christoffer Boe,2019
Black Butler : Book of the Atlantic,"Noriyuki Abe,Stephen Hoff",2017
Poulet au vinaigre,Claude Chabrol,1985
Assaut sur la ville,Mario Caiano,1977
Falchi - Falcon Special Squad,Toni D'Angelo,2017
Les Faux Tatouages,Pascal Plante,2017
Échec et Mat,John Leguizamo,2020
Alexandre Nevski,"Sergueï Eisenstein,Dmitri Vassiliev",1938
La Croisière du Navigator,"Buster Keaton,Donald Crips",1924
Les yeux de sa mère,Thierry Klifa,2011
À perdre la raison,"Joachim Lafosse,Joachim Lafosse",2011
The Party Crasher,Brant Sersen,2018
Le Cavalier de l'aube,Terry Miles,2012
Séduction fatale,Mathew Cullen,2019
Invisible,Geoff Redknap,2016
Innocence,Hilary Brougher,2013
La Reine du crime présente : la Malédiction d'Ishtar,Sam Yates,2019
La Campagne de Cicéron,Jacques Davila,1990
Détour,Edgar  G. Ulmer,1945
K.O.,Fabrice Gobert,2017
Voyage en Chine,Zoltán Mayer,2014
Va savoir,Jacques Rivette,2001
La Vierge des tueurs,Barbet Schroeder,2000
Le Temps des luttes,Andrea Adriatico,2019
Perro Bomba,Juan Caceres,2019
Des secrets dans le placard,Nicolás Teté,2020
Marguerite,Xavier Giannoli,2015
L'Enfer,"Francesco Bertolini,Adolfo Padovan,Giuseppe de Liguoro",1911
La Foule,King Vidor,1927
Les Trois visages de la peur,Mario Bava,1963
Le Petit Nicolas,Laurent Tirard,2009
Robert the Bruce,Richard Gray,2019
Caravage et moi,Steve McLean,2018
Histoire de Marie et Julien,Jacques Rivette,2003
Les Triplettes de Belleville,Sylvain Chomet,2003
"Espoir, Sierra de Teruel","André Malraux,Boris Peskine",1938
The Nightingale,Jennifer Kent,2018
Le Concert,Radu Mihaileanu,2009
Le Refuge,François Ozon,2009
Noce blanche,Jean-Claude Brisseau,1989
Jimmy's Hall,Ken Loach,2013
The Exception,Jesper W. Nielsen,2019
Y-a-t-il un youtuber dans l'avion ?,"David Dinetz,Dylan Trussell",2019
Regarde-moi,Frédéric Sojcher,1999
Possessor,Brandon Cronenberg,2020
The Executioner part II,James Bryan,1984
Là-bas... mon pays,Alexandre Arcady,1999
L'horloger de Saint-Paul,Bertrand Tavernier,1973
Vivre sans nous,David Färdmar,2020
The Last Tree,Shola Amoo,2019
À tous les vents du ciel,Christophe Lioud,2016
Le Ruban blanc,Michael Haneke,2009
Les Rapaces,Erich Von Stroheim,1923
Cross the Line,David Victori,2020
Triple Cross - La Fantastique histoire vraie d'Eddie Chapman,Terence Young,1966
Princesse Mononoké,Hayao Miyazaki,1997
Effets secondaires,Steven Soderbergh,2012
Belles familles,Jean-Paul Rappeneau,2015
Magic Mike,Steven Soderbergh,2011
En Liberté !,Pierre Salvadori,2018
Infiltrator,Brad Furman,2016
Charlotte a 17 ans,Sophie Lorain,2018
Nulle part ailleurs,"David Salazar,Francisco Salazar",2020
Antoinette dans les Cévennes,Caroline Vignal,2020
Voulez-vous un bébé Nobel ?,Robert Pouret,1980
La Main sur la gueule,Arthur Harari,2007
La Vie de famille,Krzysztof Zanussi,1970
Demon wind,Charles Philip Moore,1990
Aurore,Blandine Lenoir,2016
Harpoon,Rob Grant,2019
L'Exécuteur,Ric Roman Waugh,2017
Carbone,Olivier Marchal,2017
Fin de siècle,Lucio Castro,2019
Dis-moi oui...,Alexandre Arcady,1995
Âmes perdues,Dino Risi,1976
Un drôle de colonel,Jean Girault,1968
Pour Sacha,Alexandre Arcady,1990
Le Voyage de Chihiro,Hayao Miyazaki,2001
Nausicaä de la vallée du vent,Hayao Miyazaki,1984
Una Promessa,"Gianluca de Serio,Massimiliano de Serio",2020
Les Caïds,Robert Enrico,1972
La Grande Nouba,Christian Caza,1974
"A Dark, Dark Man",Adilkhan Yerzhanov,2019
Depraved,Larry Fessenden,2019
L'Emmurée vivante,Lucio Fulci,1977
Un Soupçon d'amour,Paul Vecchiali,2020
Rocks,Sarah Gavron,2020
Braquer Poitiers,Claude Schmitz,2018
L'Enfant rêvé,Raphaël Jacoulot,2020
Relic,Natalie Erika James,2020
Une vie secrète,"Jon Garaño,José Marí Goenaga,Aitor Arregi",2019
"25, Rue des Sapeurs.",István Szabó,1973
Blood Harvest,Danny LeGare,1987
Peninsula,Sang-ho Yeon,2020
Le pauvre amour,David Wark Griffith,1919
Stripped,Yaron Shani,2018
Éléonore,Amro Hamzawi,2020
Le Roi du monde,Carlos Saura,2021
Les Sentiments,Noémie Lvovsky,2002
Juste la fin du monde,"Xavier Dolan,Xavier Dolan",2015
"Les Choses qu'on dit, les choses qu'on fait",Emmanuel Mouret,2020
L'Acrobate,Rodrigue Jean,2019
Starfish,A.T. White,2018
Josep,Aurel,2020
Maternal,Maura Delpero,2019
Bonhomme,Marion Vernoux,2017
Vivement dimanche !,François Truffaut,1983
Le Village du péché,Olga Preobrajenskaïa,1927
Mon oncle d’Amérique,Alain Resnais,1980
Mélo,Alain Resnais,1986
Octobre,Sergueï Eisenstein,1928
Les Visiteurs en Amérique,Jean-Marie Poiré,2001
Soleil Ô,Med Hondo,1967
Sarraounia,Med Hondo,1986
Le cinquième sceau,Zoltán Fábri,1976
Neuf mois,Márta Mészáros,1976
Marie,Márta Mészáros,1969
Sacré Robin des Bois,Mel Brooks,1993
Faut pas prendre les enfants du bon Dieu pour des canards sauvages,Michel Audiard,1968
Eaux profondes,Michel Deville,1981
"Elle boit pas, elle fume pas, elle drague pas, mais... elle cause !",Michel Audiard,1970
Les sous-doués en vacances,Claude Zidi,1982
Le roman d'un jeune homme pauvre,Ettore Scola,1995
Le Beau Serge,Claude Chabrol,1958
La Fin du monde,Abel Gance,1931
Pour cent briques t'as plus rien !,Edouard Molinaro,1982
La Chinoise,Jean-Luc Godard,1967
Trois pistolets contre César,Enzo Peri,1966
Deux hommes dans Manhattan,Jean-Pierre Melville,1959
"Je suis timide, mais je me soigne",Pierre Richard,1978
Quelle heure est-il,Ettore Scola,1989
Dos Estaciones,Juan Pablo González,2021
La Fièvre de l'or,Charlton Heston,1982
Comment réussir quand on est con et pleurnichard,Michel Audiard,1974
Une étrange affaire,Pierre Granier-Deferre,1981
Papy fait de la Résistance,Jean-Marie Poiré,1983
Le Camion,Marguerite Duras,1977
Le Drapeau noir flotte sur la marmite,Michel Audiard,1970
Infernal Affairs III,"Andrew Lau,Alan Mak",2003
"Ma Belle, My Beauty",Marion Hill,2021
The Mind Benders,Basil Dearden,1963
Le Gai Savoir,Jean-Luc Godard,1969
My Dinner with André,Louis Malle,1981
Raphaël ou le débauché,Michel Deville,1971
Les Femmes de la rivière qui pleure,Sheron R. Dayoc,2016
Zéro,Nour Eddine Lakhmari,2012
Samson,Maurice Tourneur,1936
Les Bidasses en folie,Claude Zidi,1971
La Cité des femmes,Federico Fellini,1980
Les bas-fonds,Jean Renoir,1936
Finis terrae,Jean Epstein,1929
Blue Holocaust,Joe D'Amato,1979
Nothing but the truth,John Kani,2008
Retour en force,Jean-Marie Poiré,1980
Le Regard,Mani Kaul,1990
Boris Godounov,",Andrzej Zuławski",1989
Alien Zone,Sharron Miller,1978
Faites vos jeux Mesdames (Feu à volonté),Marcel Ophüls,1964
Daïnah la métisse,Jean Grémillon,1932
La fille prodigue,Jacques Doillon,1981
Charlie et ses deux nénettes,Joël Séria,1973
Hunted,Vincent Paronnaud,2019
Splendor,Ettore Scola,1989
La femme du bout du monde,Jean Epstein,1938
Le Hasard et la violence,Philippe Labro,1974
La nuit de Varennes,Ettore Scola,1982
The People Next Door,David Greene,1970
Boolean Vivarium,Nicolas Bailleul,2023
Maîtres,Swen de Pauw,2021
Il était une fois Palilula,Silviu Purcarete,2012
Le Direktor,Lars von Trier,2006
Clemency,Chinonye Chukwu,2019
99 Moons,Jan Gassmann,2022
Josepha,Christopher Frank,1982
Yoshiwara,Max Ophüls,1937
Péchés de jeunesse,Maurice Tourneur,1941
Le Christ s'est arrêté à Eboli,Francesco Rosi,1979
Fissures,Hicham Ayouch,2011
Place de la République,Louis Malle,1972
Le Monde selon Werner Herzog 1977-1992,Werner Herzog,1976
Chers camarades !,Andreï Konchalovsky,2020
Le quatrième pouvoir,Serge Leroy,1985
Monstrueuses,"Julien David,Yoriko Mizushiri,Joachim Hérissé,Hugo Covarrubias,Lucille Paras,Léahn Vivier-Chapas,Spela Cadez",2023
Ciao Ciao,Song Chuan,2017
Twist Again à Moscou,Jean-Marie Poiré,1986
Infernal Affairs II,"Alan Mak,Andy Lau",2003
Magdala,Damien Manivel,2022
Le Soldat bleu,Ralph Nelson,1970
Les aventures fantastiques de Georges Méliès,Georges Méliès,1911
La grande vadrouille,Gérard Oury,1966
Le Corniaud,Gérard Oury,1965
Scanners II : le nouveau règne,Christian Duguay,1991
Le prince et le pauvre,Richard Fleischer,1977
L'amour d'une femme,Jean Grémillon,1953
Grosse fatigue,Michel Blanc,1994
Le Val d'enfer,Maurice Tourneur,1943
Les Jeux de l'amour,Philippe de Broca,1960
"Je vous salue, Marie",Jean-Luc Godard,1985
Invisible,Michal Aviad,2011
Rue Barbare,Gilles Béhat,1984
Le Chant des scorpions,Anup Singh,2017
Après l'amour,Diane Kurys,1991
Charade,Stanley Donen,1962
Tu peux garder un secret ?,Alexandre Arcady,2008
À la folie,Diane Kurys,1994
Furia,Alexandre Aja,1999
Le Grand Pardon II,Alexandre Arcady,1992
L'Union sacrée,Alexandre Arcady,1988
Herbes Flottantes,Yasujirô Ozu,1959
La Comédie de Dieu,João Monteiro,1995
La Pointe Courte,Agnès Varda,1954
Une barque sur l'océan,Arnold de Parscau,2020
Effacer l'historique,"Gustave Kervern,Benoît Delépine",2020
Dans un jardin qu'on dirait éternel,Tatsushi Ōmori,2018
Les Amants de Sibérie,Viatcheslav Kopturevskiy,2019
Mysterious Skin,Gregg Araki,2004
Paris nous appartient,Jacques Rivette,1958
Pickpocket,Robert Bresson,1959
Claire Dolan,Lodge Kerrigan,1998
Petits arrangements avec les morts,Pascale Ferran,1993
All Tomorrow's Parties,Yu Lik-wai,2003
L'Opération Corned Beef,Jean-Marie Poiré,1990
La Règle du jeu,Jean Renoir,1939
Le Mécano de la General,"Buster Keaton,Clyde Bruckman",1926
L'Homme de la rue,Frank Capra,1941
La Cérémonie,Claude Chabrol,1995
Cadet d'eau douce,Buster Keaton,1928
Les Héros ne meurent jamais,Aude Léa Rapin,2019
L'Infirmière,Kôji Fukada,2019
Poissonsexe,Olivier Babinet,2019
Loving Memory,Tony Scott,1971
Nuits sauvages avec Emily,Madeleine Olnek,2018
Grass,Hong Sang-soo,2017
Plonger,Mélanie Laurent,2017
Season of the Witch,George A. Romero,1972
Le Jour des morts-vivants,George A. Romero,1985
There's Always Vanilla,George A. Romero,1971
La Nuit des fous vivants,George A. Romero,1973
Basta Capital,Pierre Zellner,2019
Mignonnes,Maimouna Doucouré,2020
"La Femme des steppes, le flic et l'œuf",Wang Quan'an,2019
A Perfect Family,Malou Reymann,2020
Enemy,Denis Villeneuve,2013
Les Parfums,",Grégory Magne",2019
Mise à mort du cerf sacré,Yorgos Lanthimos,2017
Ha Ha Ha,Hong Sang-soo,2009
Cooties,"Jonathan Milott,Cary Murnion",2014
Yourself and Yours,Hong Sang-soo,2016
Just Kids,Christophe Blanc,2020
José,Li Cheng,2018
Eva en août,Jonás Trueba,2019
Court-mé-trash,Collectif,2019
Picpus,Richard Pottier,1942
Cécile est morte,Maurice Tourneur,1944
The Demon Inside,Pearry Reginald Teo,2019
Gutland,Govinda Van Maele,2017
Les guichets du Louvre,Michel Mitrani,1974
Comme les cinq doigts de la main,Alexandre Arcady,2010
Les Beaux menteurs,Bruno Mercier,2019
Story of Jen,François Rotger,2008
Les Chatouilles,"Andréa Bescond,Eric Métayer",2018
Valley of Love,Guillaume Nicloux,2015
Destination Mars,Lesley Selander,1951
Lake Tahoe,Fernando Eimbcke,2007
Jumbo,Zoé Wittock,2020
John John,Brillante Mendoza,2007
Agnus Dei,Lucía Cedrón,2008
C'est ici que je vis,Marc Recha,2009
De la guerre,Bertrand Bonello,2008
Tuez les tous... et revenez seul !,Enzo G. Castellari,1968
Les Quatre de l'Apocalypse,Lucio Fulci,1975
Dolls,Takeshi Kitano,2002
Le Jour où la Terre prit feu,Val Guest,1961
Everybody knows,Asghar Farhadi,2018
Grave,Julia Ducournau,2016
Seule à mon mariage,Marta Bergman,2018
Reza,Alireza Motamedi,2018
Chambre commune,Rob Williams,2016
Passed by Censor,Serhat Karaaslan,2019
Sayônara,Kôji Fukada,2015
Bangkok Nites,Katsuya Tomita,2016
Matar a Jesús,Laura Mora,2017
Court (en instance),Chaitanya Tamhane,2014
Pays,Chloé Robichaud,2016
Arythmie,Boris Khlebnikov,2017
La Vallée,Ghassan Salhab,2014
Psychobitch,Martin Lund,2019
Amoureux de ma femme,Daniel Auteuil,2018
La Baule-Les Pins,Diane Kurys,1990
Tue-moi,Emily Atef,2012
À l'Ombre des Séraphins,Daniel Sandu,2016
Le collier rouge,Jean Becker,2016
Shelley,Ali Abbasi,2016
La Flûte enchantée,Kenneth Branagh,2006
Baal,Volker Schlöndorff,1970
The Giant,Johannes Nyholm,2016
Justin de Marseille,Maurice Tourneur,1934
Les Démons de Jésus,Bernie Bonvoisin,1997
Bernie,Albert Dupontel,1996
Le Corrupteur,Michael Winner,1971
"Brûle, sorcière, brûle !",Sidney Hayers,1962
Les Cruels,Sergio Corbucci,1967
Une femme dans la tourmente,Mikio Naruse,1964
Il pleuvait des oiseaux,Louise Archambault,2019
Brother to Brother,Rodney Evans,2004
Jill & Me,Michelle Ehlen,2013
La Communion,Jan Komasa,2019
La vie d'Adèle - Chapitre 1 & 2,Abdellatif Kechiche,2013
Brotherhood,Nicolo Donato,2009
Tattoo,Hilton Lacerda,2013
Gris blanc,Karim Dridi,2005
Dark Room,Rosa von Praunheim,2019
Les Gardenias sauvages,,2014
Sex-Chantage,"Richard Shumanski,Bernard Shumanski",2010
Water Boys,Roberto Cuzzillo,2015
Tijuana Bible,"Jean-Charles Hue,Jean-Charles Hue",2020
De l'autre côté,Fatih Akin,2007
L'Homme au bras d'or,Otto Preminger,1955
Malmkrog,Cristi Puiu,2019
L'Esquive,Abdellatif Kechiche,2003
La Belle et la belle,Sophie Fillières,2017
L'Envolée,Eva Riley,2019
Bigamie,Ida Lupino,1953
Dix petits indiens,René Clair,1945
Une étoile est née (A star is Born),"William A. Wellman,Jack Conway",1937
The Thundering Herd,Henry Hathaway,1933
La Bête de la caverne hantée,Monte Hellman,1959
La Créature de la mer hantée,Roger Corman,1961
Plus fort que le Diable,John Huston,1953
Aparajito (L'Invaincu),Satyajit Ray,1956
